sample,project,language,files,loc,features,variability_impl_technology,Method,recall,precision,fmeasure,performance
SPL,Pynche,Python,12,2400,12,CIDE,NN,1.0,0.37100168350168355,0.5412125863392172,2.6106932163238525
SPL,Pynche,Python,12,2400,12,CIDE,EB,1.0,0.4642857142857143,0.6341463414634146,3.738835096359253
SPL,Mobile_RSS_Reader,Java,99,20000,27,CIDE,BM25,0.7191495726495726,0.45955738527406675,0.5607678736536489,165.65455102920532
SPL,Mobile_RSS_Reader,Java,99,20000,27,CIDE,CV,0.7252393162393163,0.45077379685310337,0.5559782906649502,166.57193803787231
SPL,Mobile_RSS_Reader,Java,99,20000,27,CIDE,LSI,0.948559670781893,0.08967897583663573,0.16386571637014308,468.16294407844543
SPL,Mobile_RSS_Reader,Java,99,20000,27,CIDE,NN,0.755686274509804,0.4689045183290707,0.5787152910654496,301.24010610580444
SPL,Mobile_RSS_Reader,Java,99,20000,27,CIDE,EB,0.75,0.6481481481481481,0.695364238410596,301.70250701904297
SPL,BankAccountv2,Java,30,95,8,FeatureHouse,BM25,0.9083333333333333,0.5861607142857144,0.7125211590162303,0.048645973205566406
SPL,BankAccountv2,Java,30,95,8,FeatureHouse,CV,0.8416666666666667,0.5772321428571429,0.6848085998951232,0.06058502197265625
SPL,BankAccountv2,Java,30,95,8,FeatureHouse,LSI,0.9083333333333333,0.28586193395976,0.43486677674640917,0.3086729049682617
SPL,BankAccountv2,Java,30,95,8,FeatureHouse,EB,0.9166666666666666,0.725,0.8096446700507615,0.29518699645996094
SPL,BankAccountv2,Java,30,95,8,FeatureHouse,NN,0.7,0.49238782051282054,0.5781197500168,0.33153700828552246
SPL,Mobile_Media,Java,51,5700,23,CIDE,BM25,0.8092902711323763,0.27468462294924734,0.4101563499232699,10.690392971038818
SPL,Mobile_Media,Java,51,5700,23,CIDE,CV,0.67811004784689,0.26353404069110486,0.3795597150082225,12.363950967788696
SPL,Mobile_Media,Java,51,5700,23,CIDE,LSI,0.9753434970826275,0.1012809501687156,0.1835063589306455,171.1064600944519
SPL,Mobile_Media,Java,51,5700,23,CIDE,EB,0.25549242424242424,0.325,0.28608482871125607,33.99428200721741
SPL,Mobile_Media,Java,51,5700,23,CIDE,NN,0.46838118022328545,0.2531426605730011,0.3286579082215548,34.11085891723633
SPL,BattleOfTanks,Java,11,1975,132,Antenna,BM25,0.9846153846153847,0.9717948717948718,0.9781631212823872,1.8258330821990967
SPL,BattleOfTanks,Java,11,1975,132,Antenna,CV,0.9923664122137404,0.967239185750636,0.979641700873879,2.2848598957061768
