projectandfeature,methodname,totaltraces,truetraces,precision,recall
openvpn-2.4.3-msg_nosignal,BM25,115,1,0.008695652173913044,1.0
openvpn-2.4.3-debug_verbose_setenv,BM25,67,1,0.014925373134328358,1.0
openvpn-2.4.3-list_h,BM25,77,1,0.012987012987012988,1.0
openvpn-2.4.3-have_sys_sockio_h,BM25,91,1,0.01098901098901099,1.0
openvpn-2.4.3-select_preferred_over_poll,BM25,37,1,0.02702702702702703,1.0
openvpn-2.4.3-ip_recverr,BM25,1,1,0.0,0.0
openvpn-2.4.3-have_cpp_vararg_macro_iso,BM25,25,1,0.04,1.0
openvpn-2.4.3-mbuf_h,BM25,11,1,0.09090909090909091,1.0
openvpn-2.4.3-pedantic,BM25,3,1,0.3333333333333333,1.0
openvpn-2.4.3-have_ftruncate,BM25,1,1,1.0,1.0
openvpn-2.4.3-have_dsa_get0_pqg,BM25,5,1,0.2,1.0
openvpn-2.4.3-p2mp_server,BM25,73,1,0.0136986301369863,1.0
openvpn-2.4.3-enable_auto_userid,BM25,90,1,0.011111111111111112,1.0
openvpn-2.4.3-have_chdir,BM25,6,1,0.16666666666666666,1.0
openvpn-2.4.3-have_config_msvc_local_h,BM25,129,1,0.007751937984496124,1.0
openvpn-2.4.3-management_in_extra,BM25,74,1,0.013513513513513514,1.0
openvpn-2.4.3-dup_cn,BM25,48,1,0.020833333333333332,1.0
openvpn-2.4.3-ssl_common_h_,BM25,58,1,0.017241379310344827,1.0
openvpn-2.4.3-otime_h,BM25,19,1,0.05263157894736842,1.0
openvpn-2.4.3-have_daemon,BM25,19,1,0.05263157894736842,1.0
openvpn-2.4.3-ipv6_v6only,BM25,30,1,0.03333333333333333,1.0
openvpn-2.4.3-ping_inline_h,BM25,99,1,0.010101010101010102,1.0
openvpn-2.4.3-have_chsize,BM25,2,1,0.5,1.0
openvpn-2.4.3-ipv6_recvpktinfo,BM25,30,1,0.03333333333333333,1.0
openvpn-2.4.3-openvpn_plugin_h_,BM25,29,1,0.034482758620689655,1.0
openvpn-2.4.3-extended_socket_error_capability,BM25,129,1,0.007751937984496124,1.0
openvpn-2.4.3-test_get_default_gateway,BM25,134,1,0.007462686567164179,1.0
openvpn-2.4.3-push_defined,BM25,84,1,0.011904761904761904,1.0
openvpn-2.4.3-cert_system_store_current_user,BM25,110,1,0.00909090909090909,1.0
openvpn-2.4.3-common_h,BM25,57,1,0.017543859649122806,1.0
openvpn-2.4.3-have_evp_pkey_id,BM25,12,1,0.08333333333333333,1.0
openvpn-2.4.3-pf_inline_h,BM25,96,1,0.010416666666666666,1.0
openvpn-2.4.3-log_rw,BM25,80,1,0.0125,1.0
openvpn-2.4.3-ssl_mode_release_buffers,BM25,85,1,0.011764705882352941,1.0
openvpn-2.4.3-session_id_h,BM25,1,1,1.0,1.0
openvpn-2.4.3-buffer_h,BM25,106,1,0.009433962264150943,1.0
openvpn-2.4.3-crypto_backend_h_,BM25,68,1,0.014705882352941176,1.0
openvpn-2.4.3-unicode,BM25,2,1,0.0,0.0
openvpn-2.4.3-manage_h,BM25,46,1,0.021739130434782608,1.0
openvpn-2.4.3-_win32_wce,BM25,43,1,0.0,0.0
openvpn-2.4.3-_win32_winnt,BM25,43,1,0.023255813953488372,1.0
openvpn-2.4.3-constants,BM25,7,1,0.0,0.0
openvpn-2.4.3-have_getpass,BM25,1,1,1.0,1.0
openvpn-2.4.3-have_setgid,BM25,2,1,0.0,0.0
openvpn-2.4.3-enable_pkcs11,BM25,91,1,0.01098901098901099,1.0
openvpn-2.4.3-enable_multihome,BM25,90,1,0.011111111111111112,1.0
openvpn-2.4.3-crypto_mbedtls_h_,BM25,67,1,0.014925373134328358,1.0
openvpn-2.4.3-have_lzo_lzoutil_h,BM25,8,1,0.125,1.0
openvpn-2.4.3-proxy_h,BM25,23,1,0.043478260869565216,1.0
openvpn-2.4.3-have_getpid,BM25,8,1,0.125,1.0
openvpn-2.4.3-have_umask,BM25,1,1,1.0,1.0
openvpn-2.4.3-target_darwin,BM25,20,1,0.05,1.0
openvpn-2.4.3-enable_lzo,BM25,92,1,0.010869565217391304,1.0
openvpn-2.4.3-ip_pmtudisc_want,BM25,32,1,0.03125,1.0
openvpn-2.4.3-have_evp_pkey_get0_dsa,BM25,14,1,0.07142857142857142,1.0
openvpn-2.4.3-max_hmac_key_length,BM25,120,1,0.008333333333333333,1.0
openvpn-2.4.3-scm_rights,BM25,10,1,0.0,0.0
openvpn-2.4.3-pid_test,BM25,79,1,0.012658227848101266,1.0
openvpn-2.4.3-enable_small,BM25,94,1,0.010638297872340425,1.0
openvpn-2.4.3-static_assert,BM25,77,1,0.012987012987012988,1.0
openvpn-2.4.3-fragment_h,BM25,18,1,0.05555555555555555,1.0
openvpn-2.4.3-mbedtls_ssl_cbc_record_splitting,BM25,31,1,0.03225806451612903,1.0
openvpn-2.4.3-openssl_version_number,BM25,74,1,0.013513513513513514,1.0
openvpn-2.4.3-openvpn_ssl_h,BM25,1,1,1.0,1.0
openvpn-2.4.3-mss_h,BM25,15,1,0.06666666666666667,1.0
