"sep=,"
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/graphics_sixel.h.xml,OPT_SIXEL_GRAPHICS;included_graphics_sixel_h
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/html.c.xml,HAVE_STRFTIME;OPT_ISO_COLORS;OPT_WIDE_ATTRS;OPT_WIDE_CHARS;VMS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/input.c.xml,DXK_Remove;HAVE_X11_DECKEYSYM_H;HAVE_X11_SUNKEYSYM_H;HAVE_X11_XF86KEYSYM_H;HAVE_XKBKEYCODETOKEYSYM;IsPrivateKeypadKey;OPT_EXTRA_PASTE;OPT_HP_FUNC_KEYS;OPT_I18N_SUPPORT;OPT_INPUT_METHOD;OPT_MOD_FKEYS;OPT_NUM_LOCK;OPT_SCO_FUNC_KEYS;OPT_SUNPC_KBD;OPT_SUN_FUNC_KEYS;OPT_TCAP_FKEYS;OPT_TCAP_QUERY;OPT_TEK4014;OPT_VT52_MODE;OPT_WIDE_CHARS;SunXK_F36;SunXK_Paste;VMS;XF86XK_Paste;XK_ISO_Left_Tab;XK_ISO_Lock;XK_KP_Delete;XK_KP_Home;XK_KP_Insert
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/keysym2ucs.c.xml,KEYSYM2UCS_INCLUDED
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/keysym2ucs.h.xml,
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/linedata.c.xml,OPT_FIFO_LINES;OPT_ISO_COLORS;OPT_WIDE_CHARS
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/main.c.xml,AIXV3;ALLOWLOGGING;ATT;B1000000;B115200;B1152000;B1500000;B153600;B19200;B2000000;B230400;B2500000;B28800;B3000000;B307200;B3500000;B38400;B4000000;B460800;B500000;B57600;B576000;B76800;B921600;BAUD_0;BSD;BSDLY;CBAUD;CBRK;CDISCARD;CDSUSP;CEOF;CEOL;CERASE;CERASE2;CFLUSH;CINTR;CKILL;CLNEXT;CNUL;CQUIT;CRAY;CREPRINT;CRPRNT;CSRG_BASED;CSTART;CSTATUS;CSTOP;CSUSP;CSWTCH;CWERASE;DEBUG;DECL_PTSNAME;DISABLE_SETGID;DISABLE_SETUID;ECHOCTL;ECHOKE;ENODEV;EXTA;EXTB;FFDLY;FIONREAD;FIORDCK;HAS_LTCHARS;HAVE_GRANTPT_PTY_ISATTY;HAVE_INITGROUPS;HAVE_LASTLOG_H;HAVE_LIB_NEXTAW;HAVE_LIB_XAW;HAVE_LIB_XAW3D;HAVE_LIB_XAW3DXFT;HAVE_LIB_XAWPLUS;HAVE_POSIX_OPENPT;HAVE_POSIX_SAVED_IDS;HAVE_PTSNAME;HAVE_SETPGID;HAVE_SYS_TTYDEFAULTS_H;HAVE_TERMIO_C_ISPEED;HAVE_UNISTD_H;HAVE_UTMP;HAVE_UTMP_UT_HOST;HAVE_UTMP_UT_SESSION;HAVE_UTMP_UT_SYSLEN;HAVE_UTMP_UT_XSTATUS;HAVE_UTMP_UT_XTIME;ISC;ISC22;ISC30;IUTF8;I_FIND;I_PUSH;KANJI;LASTLOG_FILENAME;LOGIN_FILENAME;LPASS8;Lynx;MNX_LASTLOG;NOFILE;NO_ACTIVE_ICON;NO_LEAKS;NTTYDISC;ONLCR;OPOST;OPT_C1_PRINT;OPT_COLOR_RES;OPT_DABBREV;OPT_EBCDIC;OPT_GRAPHICS;OPT_HIGHLIGHT_COLOR;OPT_HP_FUNC_KEYS;OPT_I18N_SUPPORT;OPT_INITIAL_ERASE;OPT_INPUT_METHOD;OPT_ISO_COLORS;OPT_LUIT_PROG;OPT_MAXIMIZE;OPT_PRINT_ON_EXIT;OPT_PTY_HANDSHAKE;OPT_RENDERFONT;OPT_REPORT_CCLASS;OPT_REPORT_COLORS;OPT_REPORT_FONTS;OPT_SAME_NAME;OPT_SCO_FUNC_KEYS;OPT_SESSION_MGT;OPT_SUNPC_KBD;OPT_SUN_FUNC_KEYS;OPT_TCAP_FKEYS;OPT_TEK4014;OPT_TOOLBAR;OPT_TRACE;OPT_WIDE_ATTRS;OPT_WIDE_CHARS;OPT_ZICONBEEP;OSMAJORVERSION;OSMINORVERSION;OWN_TERMINFO_ENV;O_NDELAY;PUCC_PTYD;SA_RESTART;SCROLLBAR_RIGHT;SIGTSTP;SIGTTOU;SRIOCSREDIR;SVR4;SYSTYPE_SYSV;SYSV;TAB3;TCSETCTTY;TERMIO_STRUCT;TIOCCONS;TIOCLSET;TIOCNOTTY;TIOCSCTTY;TIOCSWINSZ;TTYSIZE_STRUCT;TTY_GROUP_NAME;USE_ANY_SYSV_TERMIO;USE_LASTLOG;USE_LASTLOGX;USE_LOGIN_DASH_P;USE_NO_DEV_TTY;USE_OPENPTY;USE_POSIX_SIGNALS;USE_POSIX_TERMIOS;USE_POSIX_WAIT;USE_PTY_DEVICE;USE_PTY_SEARCH;USE_STRUCT_LASTLOG;USE_SYSV_ENVVARS;USE_SYSV_PGRP;USE_SYSV_SIGHUP;USE_SYSV_SIGNALS;USE_SYSV_UTMP;USE_TERMIOS;USE_TTY_GROUP;USE_USG_PTYS;USE_UTEMPTER;USE_UTMP_SETGID;USE_X11TERM;USG;UTMPX_FOR_UTMP;UTMP_FILE;UTMP_FILENAME;VDISABLE;VDISCARD;VDSUSP;VEOF;VEOL;VEOL2;VERASE;VERASE2;VINTR;VKILL;VLNEXT;VMS;VQUIT;VREPRINT;VSTART;VSTATUS;VSTOP;VSUSP;VSWTCH;VTDLY;VWERASE;WIN32;WTMP;WTMPX_FILE;WTMP_FILE;WTMP_FILENAME;X_NOT_POSIX;_CRAY;_NETBSD_SOURCE;_PATH_LASTLOG;_PATH_LASTLOGX;_PATH_UTMP;_PATH_WTMP;_PC_VDISABLE;_POSIX_C_SOURCE;_POSIX_SOURCE;_POSIX_VDISABLE;_SVID3;__APPLE__;__CYGWIN__;__DragonFly__;__FreeBSD__;__FreeBSD_kernel__;__GLIBC_MINOR__;__GLIBC__;__GNU__;__INTERIX;__MVS__;__NetBSD__;__OpenBSD__;__QNXNTO__;__QNX__;__SCO__;__UNIXWARE__;__convex__;__digital__;__hpux;__minix;__osf__;__powerpc__;__sgi;__unix__;apollo;bsd43;get_pty;getutid;i386;linux;macII;sequent;sony;sun;umips
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/main.h.xml,DEFBOLDFONT;DEFBORDER;DEFCLASS;DEFDELETE_DEL;DEFFACENAME;DEFFACENAME_AUTO;DEFFACESIZE;DEFFONT;DEFWIDEBOLDFONT;DEFWIDEFONT;DEFXIMFONT;DEF_8BIT_META;DEF_ALLOW_COLOR;DEF_ALLOW_FONT;DEF_ALLOW_MOUSE;DEF_ALLOW_TCAP;DEF_ALLOW_TITLE;DEF_ALLOW_WINDOW;DEF_ALT_SENDS_ESC;DEF_BACKARO_BS;DEF_BACKARO_ERASE;DEF_COLOR12;DEF_COLOR4;DEF_DISALLOWED_COLOR;DEF_DISALLOWED_FONT;DEF_DISALLOWED_MOUSE;DEF_DISALLOWED_TCAP;DEF_DISALLOWED_WINDOW;DEF_INITIAL_ERASE;DEF_MENU_LOCALE;DEF_META_SENDS_ESC;DEF_POINTER_MODE;DEF_PTY_STTY_SIZE;DEF_TITLE_MODES;HAVE_CONFIG_H;LUIT_PATH;OPT_BLINK_TEXT;PROJECTROOT;__APPLE__;included_main_h;linux
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/menu.c.xml,ALLOWLOGGING;HAVE_LIB_NEXTAW;HAVE_LIB_XAW;HAVE_LIB_XAW3D;HAVE_LIB_XAW3DXFT;HAVE_LIB_XAWPLUS;NO_ACTIVE_ICON;OPT_ALLOW_XXX_OPS;OPT_BLINK_CURS;OPT_BOX_CHARS;OPT_DEC_CHRSET;OPT_DEC_SOFTFONT;OPT_GRAPHICS;OPT_HP_FUNC_KEYS;OPT_LOAD_VTFONTS;OPT_MAXIMIZE;OPT_NUM_LOCK;OPT_PRINT_ON_EXIT;OPT_RENDERFONT;OPT_SCO_FUNC_KEYS;OPT_SCREEN_DUMPS;OPT_SIXEL_GRAPHICS;OPT_SUNPC_KBD;OPT_SUN_FUNC_KEYS;OPT_TCAP_FKEYS;OPT_TEK4014;OPT_TOOLBAR;OPT_TRACE;OPT_WIDE_CHARS;SIGCONT;SIGTSTP;VMS;update_marginbell
/Users/tassiovale/Dropbox/PhD Thesis/preprocessor systems/projects/xterm-3.3.0/_cppstats_featurelocations/menu.h.xml,ALLOWLOGGING;NO_ACTIVE_ICON;OPT_ALLOW_XXX_OPS;OPT_BLINK_CURS;OPT_BOX_CHARS;OPT_DEC_CHRSET;OPT_DEC_SOFTFONT;OPT_GRAPHICS;OPT_HP_FUNC_KEYS;OPT_LOAD_VTFONTS;OPT_MAXIMIZE;OPT_NUM_LOCK;OPT_PRINT_ON_EXIT;OPT_RENDERFONT;OPT_SCO_FUNC_KEYS;OPT_SCREEN_DUMPS;OPT_SIXEL_GRAPHICS;OPT_SUNPC_KBD;OPT_SUN_FUNC_KEYS;OPT_TCAP_FKEYS;OPT_TEK4014;OPT_TOOLBAR;OPT_WIDE_CHARS;included_menu_h
