project,language,loc,features,variability_impl_technology,method,recall,precision,fmeasure,performance
dia_0.97.3,c,154962,291,preprocessor,Extended boolean,0.8773946360153256,0.09791787117676698,0.17617453750875378,2576.5526180267334
dia_0.97.3,c,154962,291,preprocessor,Classic vector model,0.8814814814814815,0.04201367945957215,0.08020460090938286,1396.120553970337
sqlite-3.19.3,c,267156,571,preprocessor,Classic vector model,0.55765595463138,0.11610944715859678,0.1922007999369857,87.29333806037903
sqlite-3.19.3,c,267156,571,preprocessor,BM25,0.998109640831758,0.19240869401549965,0.32262413245631727,109.19410705566406
sqlite-3.19.3,c,267156,571,preprocessor,Neural networks,0.8038147138964578,0.2781707695876634,0.413310087766527,191.87708592414856
sqlite-3.19.3,c,267156,571,preprocessor,Extended boolean,0.7919463087248322,0.34973633748801547,0.4852003355211535,222.44835710525513
subversion-1.9.5,c,156778,280,preprocessor,BM25,0.9585062240663901,0.08179890575643489,0.15073416066441214,3540.562304019928
subversion-1.9.5,c,156778,280,preprocessor,Extended boolean,0.7264150943396226,0.15327168439795225,0.2531329736279817,8245.570574998856
subversion-1.9.5,c,156778,280,preprocessor,Classic vector model,0.7066115702479339,0.0706674452830938,0.12848522468545545,6408.15784907341
subversion-1.9.5,c,156778,280,preprocessor,Neural networks,0.6168831168831169,0.19993508984392894,0.3019927332213445,11412.837329864502
vim-7.4,c,304992,1050,preprocessor,Extended boolean,0.6223404255319149,0.16238972163634108,0.2575705516854594,7138.73176407814
vim-7.4,c,304992,1050,preprocessor,BM25,0.9570837642192348,0.116045390664795,0.2069930889721399,3138.200588941574
vim-7.4,c,304992,1050,preprocessor,Neural networks,0.5902612826603325,0.15235921152430518,0.24220108204310764,8476.323641061783
vim-7.4,c,304992,1050,preprocessor,Classic vector model,0.8059855521155831,0.10516644623306545,0.18605597394246612,4556.838624954224
sylpheed-3.5.1,c,119488,296,preprocessor,Classic vector model,0.9342105263157895,0.1718417324055288,0.2902871071556394,744.1189370155334
sylpheed-3.5.1,c,119488,296,preprocessor,BM25,0.94,0.2636972989084466,0.41185680353145543,824.1621010303497
sylpheed-3.5.1,c,119488,296,preprocessor,Extended boolean,0.9027777777777778,0.2613067551633314,0.4053003455834224,1541.764536857605
sylpheed-3.5.1,c,119488,296,preprocessor,Neural networks,0.7878787878787878,0.27980870920307904,0.4129585618402092,1441.9310050010681
parrot-4.6.2,c,101507,413,preprocessor,BM25,0.9603825136612022,0.12371070474245828,0.21918705065291225,962.3726999759674
parrot-4.6.2,c,101507,413,preprocessor,Classic vector model,0.7925824175824175,0.12198133705160762,0.21142377998346715,1022.1702058315277
parrot-4.6.2,c,101507,413,preprocessor,Neural networks,0.7181818181818181,0.24178330983693938,0.3617722602550996,2084.575516939163
parrot-4.6.2,c,101507,413,preprocessor,Extended boolean,0.78125,0.2053243636876166,0.32518513562702245,2091.009241104126
gnumeric-1.8.4,c,248311,506,preprocessor,Neural networks,0.6529680365296804,0.30146290628106165,0.41248797198711357,8765.539371013641
gnumeric-1.8.4,c,248311,506,preprocessor,Extended boolean,0.8577777777777778,0.278788753659554,0.4208091492560623,8985.978502988815
gnumeric-1.8.4,c,248311,506,preprocessor,Classic vector model,0.8562367864693446,0.20628325222429278,0.33246866422234456,6034.519995927811
gnumeric-1.8.4,c,248311,506,preprocessor,BM25,0.9760191846522782,0.10698676833132553,0.19283576070408434,4187.336706161499
libxml2-2.9.3,c,242524,2171,preprocessor,Classic vector model,0.9733527131782945,0.1531932870415653,0.2647226150614496,6217.466018199921
libxml2-2.9.3,c,242524,2171,preprocessor,BM25,0.9966068831798351,0.1548235751498959,0.26801139323120265,4531.405721187592
libxml2-2.9.3,c,242524,2171,preprocessor,Extended boolean,0.9706314243759178,0.16247320159622883,0.27835310433573285,9174.579254865646
libxml2-2.9.3,c,242524,2171,preprocessor,Neural networks,0.9292730844793713,0.1595536583428247,0.2723462134001178,9815.000965118408
openldap-2.4.45,c,285946,951,preprocessor,Extended boolean,0.8178160919540229,0.12131318544773362,0.21128480947765538,19467.320396900177
openldap-2.4.45,c,285946,951,preprocessor,Classic vector model,0.8601741022850925,0.07524964348825924,0.1383924554561604,13227.455611944199
openldap-2.4.45,c,285946,951,preprocessor,Neural networks,0.6031847133757962,0.12544240183895042,0.20769180179658345,20873.3162150383
